VectorSize,Distance,Split,Pruning,Fscore,Precision,Recall,AlarmRate,DetectionRate,Accuracy,DistancesMatrixComputation,BuildingComputation,NumSplits,NumLeaves,Depth
100,DTW-value-localDistance-Lp-7-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.963129,0.623066,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.923720,0.381238,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.923720,0.381238,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.940898,0.194956,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.940898,0.194956,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.940953,0.421766,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.940953,0.421766,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.909918,0.805191,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.909918,0.805191,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.948739,0.644209,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-8-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.948739,0.644209,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.952209,0.390882,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.952209,0.390882,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.933577,0.194217,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.933577,0.194217,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.935557,0.457693,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.935557,0.457693,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.943157,0.987702,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.943157,0.987702,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,1.076272,0.769310,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-9-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,1.076272,0.769310,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.894057,0.413980,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.894057,0.413980,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Cluster,Full,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.963816,0.212979,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Cluster,Best,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.963816,0.212979,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Standard,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.927221,0.424884,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,Standard,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.927221,0.424884,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.923306,0.832444,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.923306,0.832444,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,StandardCluster,Full,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.935227,0.797916,1.000000,2.000000,1.000000
100,DTW-value-localDistance-Lp-10-w=0min,StandardCluster,Best,0.995025,0.990099,1.000000,0.010000,1.000000,0.995000,0.935227,0.797916,1.000000,2.000000,1.000000
